"id_estado_municipio","estado","descripcion_estado","municipio","descripcion_municipio"
48407090,7,"CHIAPAS",90,"TAPALAPA"
48407091,7,"CHIAPAS",91,"TAPILULA"
48407092,7,"CHIAPAS",92,"TECPATAN"
48407093,7,"CHIAPAS",93,"TENEJAPA"
48407094,7,"CHIAPAS",94,"TEOPISCA"
48407096,7,"CHIAPAS",96,"TILA"
48407097,7,"CHIAPAS",97,"TONALA"
48407098,7,"CHIAPAS",98,"TOTOLAPA"
48407099,7,"CHIAPAS",99,"LA TRINITARIA"
48407100,7,"CHIAPAS",100,"TUMBALA"
48407101,7,"CHIAPAS",101,"TUXTLA GUTIERREZ"
48407102,7,"CHIAPAS",102,"TUXTLA CHICO"
48407103,7,"CHIAPAS",103,"TUZANTAN"
48407104,7,"CHIAPAS",104,"TZIMOL"
48407105,7,"CHIAPAS",105,"UNION JUAREZ"
48407106,7,"CHIAPAS",106,"VENUSTIANO CARRANZA"
48407107,7,"CHIAPAS",107,"VILLA CORZO"
48407108,7,"CHIAPAS",108,"VILLAFLORES"
48407109,7,"CHIAPAS",109,"YAJALON"
48407110,7,"CHIAPAS",110,"SAN LUCAS"
48407111,7,"CHIAPAS",111,"ZINACANTÁN"
48407112,7,"CHIAPAS",112,"SAN JUAN CANCUC"
48407113,7,"CHIAPAS",113,"ALDAMA"
48407114,7,"CHIAPAS",114,"BENEMERITO DE LAS AMERICAS"
48407115,7,"CHIAPAS",115,"MARAVILLA TENEJAPA"
48407116,7,"CHIAPAS",116,"MARQUES DE COMILLAS"
48407117,7,"CHIAPAS",117,"MONTECRISTO DE GUERRERO"
48407118,7,"CHIAPAS",118,"SAN ANDRES DURAZNAL"
48407119,7,"CHIAPAS",119,"SANTIAGO EL PINAR"
48407120,7,"CHIAPAS",120,"CAPITÁN LUIS ÁNGEL VIDAL"
48407121,7,"CHIAPAS",121,"RINCON CHAMULA SAN PEDRO"
48407122,7,"CHIAPAS",122,"EL PARRAL"
48407123,7,"CHIAPAS",123,"EMILIANO ZAPATA"
48407124,7,"CHIAPAS",124,"MEZCALAPA"
48407125,7,"CHIAPAS",125,"HONDURAS DE LA SIERRA"
48408001,8,"CHIHUAHUA",1,"AHUMADA"
48408002,8,"CHIHUAHUA",2,"ALDAMA"
48408003,8,"CHIHUAHUA",3,"ALLENDE"
48408004,8,"CHIHUAHUA",4,"AQUILES SERDAN"
48408005,8,"CHIHUAHUA",5,"ASCENSION"
48408006,8,"CHIHUAHUA",6,"BACHINIVA"
48408007,8,"CHIHUAHUA",7,"BALLEZA"
48408008,8,"CHIHUAHUA",8,"BATOPILAS DE MANUEL GÓMEZ MORÍN"
48408009,8,"CHIHUAHUA",9,"BOCOYNA"
48408010,8,"CHIHUAHUA",10,"BUENAVENTURA"
48408011,8,"CHIHUAHUA",11,"CAMARGO"
48408012,8,"CHIHUAHUA",12,"CARICHI"
48408013,8,"CHIHUAHUA",13,"CASAS GRANDES"
48408014,8,"CHIHUAHUA",14,"CORONADO"
48408015,8,"CHIHUAHUA",15,"COYAME DEL SOTOL"
48408016,8,"CHIHUAHUA",16,"LA CRUZ"
48408017,8,"CHIHUAHUA",17,"CUAUHTEMOC"
48408018,8,"CHIHUAHUA",18,"CUSIHUIRIACHI"
48408019,8,"CHIHUAHUA",19,"CHIHUAHUA"
48408020,8,"CHIHUAHUA",20,"CHÍNIPAS"
48408021,8,"CHIHUAHUA",21,"DELICIAS"
48408022,8,"CHIHUAHUA",22,"DR. BELISARIO DOMINGUEZ"
48408023,8,"CHIHUAHUA",23,"GALEANA"
48408024,8,"CHIHUAHUA",24,"SANTA ISABEL"
48408025,8,"CHIHUAHUA",25,"GOMEZ FARIAS"
48408026,8,"CHIHUAHUA",26,"GRAN MORELOS"
48408027,8,"CHIHUAHUA",27,"GUACHOCHI"
48408028,8,"CHIHUAHUA",28,"GUADALUPE"
48408029,8,"CHIHUAHUA",29,"GUADALUPE Y CALVO"
48408030,8,"CHIHUAHUA",30,"GUAZAPARES"
48408031,8,"CHIHUAHUA",31,"GUERRERO"
48408032,8,"CHIHUAHUA",32,"HIDALGO DEL PARRAL"
48408033,8,"CHIHUAHUA",33,"HUEJOTITAN"
48408034,8,"CHIHUAHUA",34,"IGNACIO ZARAGOZA"
48408035,8,"CHIHUAHUA",35,"JANOS"
48408036,8,"CHIHUAHUA",36,"JIMENEZ"
48408037,8,"CHIHUAHUA",37,"JUAREZ"
48408038,8,"CHIHUAHUA",38,"JULIMES"
48408039,8,"CHIHUAHUA",39,"LOPEZ"
48408040,8,"CHIHUAHUA",40,"MADERA"
48408041,8,"CHIHUAHUA",41,"MAGUARICHI"
48408042,8,"CHIHUAHUA",42,"MANUEL BENAVIDES"
48408043,8,"CHIHUAHUA",43,"MATACHÍ"
48408044,8,"CHIHUAHUA",44,"MATAMOROS"
48408045,8,"CHIHUAHUA",45,"MEOQUI"
48408046,8,"CHIHUAHUA",46,"MORELOS"
48408047,8,"CHIHUAHUA",47,"MORIS"
48408048,8,"CHIHUAHUA",48,"NAMIQUIPA"
48408049,8,"CHIHUAHUA",49,"NONOAVA"
48408050,8,"CHIHUAHUA",50,"NUEVO CASAS GRANDES"
48408051,8,"CHIHUAHUA",51,"OCAMPO"
48408052,8,"CHIHUAHUA",52,"OJINAGA"
48408053,8,"CHIHUAHUA",53,"PRAXEDIS G. GUERRERO"
48408054,8,"CHIHUAHUA",54,"RIVA PALACIO"
48408055,8,"CHIHUAHUA",55,"ROSALES"
48408056,8,"CHIHUAHUA",56,"ROSARIO"
48408057,8,"CHIHUAHUA",57,"SAN FRANCISCO DE BORJA"
48408058,8,"CHIHUAHUA",58,"SAN FRANCISCO DE CONCHOS"
48408059,8,"CHIHUAHUA",59,"SAN FRANCISCO DEL ORO"
48408060,8,"CHIHUAHUA",60,"SANTA BARBARA"
48408061,8,"CHIHUAHUA",61,"SATEVO"
48408062,8,"CHIHUAHUA",62,"SAUCILLO"
48408063,8,"CHIHUAHUA",63,"TEMOSACHIC"
48408064,8,"CHIHUAHUA",64,"EL TULE"
48408065,8,"CHIHUAHUA",65,"URIQUE"
48408066,8,"CHIHUAHUA",66,"URUACHI"
48408067,8,"CHIHUAHUA",67,"VALLE DE ZARAGOZA"
48409002,9,"CIUDAD DE MÉXICO",2,"AZCAPOTZALCO"
48409003,9,"CIUDAD DE MÉXICO",3,"COYOACAN"
48409004,9,"CIUDAD DE MÉXICO",4,"CUAJIMALPA DE MORELOS"
48409005,9,"CIUDAD DE MÉXICO",5,"GUSTAVO A. MADERO"
48409006,9,"CIUDAD DE MÉXICO",6,"IZTACALCO"
48409007,9,"CIUDAD DE MÉXICO",7,"IZTAPALAPA"
48409008,9,"CIUDAD DE MÉXICO",8,"LA MAGDALENA CONTRERAS"
48409009,9,"CIUDAD DE MÉXICO",9,"MILPA ALTA"
48409010,9,"CIUDAD DE MÉXICO",10,"ÁLVARO OBREGÓN"
48409011,9,"CIUDAD DE MÉXICO",11,"TLÁHUAC"
48409012,9,"CIUDAD DE MÉXICO",12,"TLALPAN"
48409013,9,"CIUDAD DE MÉXICO",13,"XOCHIMILCO"
48409014,9,"CIUDAD DE MÉXICO",14,"BENITO JUAREZ"
